Categorie,Francais,Image_a_chercher,Icone_openmoji,Hexcode,Emoji,Type_correspondance,Qualite
Les vêtements,la montre,watch,watch,231A,⌚️,annotation,bon
Les vêtements,la capuche,hood,coat,1F9E5,🧥,override,approximatif
La nourriture et les boissons,le pain,bread,bread,1F35E,🍞,annotation,bon
La nourriture et les boissons,le beurre,butter,butter,1F9C8,🧈,annotation,bon
La nourriture et les boissons,la confiture,jam,jar with red content,1FAD9-200D-1F7E5,🫙‍🟥,tag,bon
La nourriture et les boissons,le fromage,cheese,cow face,1F42E,🐮,tag,bon
La nourriture et les boissons,le lait,milk,cow face,1F42E,🐮,tag,bon
La nourriture et les boissons,l'œuf,egg,egg,1F95A,🥚,annotation,bon
La nourriture et les boissons,le jambon,ham,bacon,1F953,🥓,override,approximatif
La nourriture et les boissons,le poulet,chicken,chicken,1F414,🐔,annotation,bon
La nourriture et les boissons,la viande,meat,pig face,1F437,🐷,tag,bon
La nourriture et les boissons,le poisson,fish,fish,1F41F,🐟️,annotation,bon
La nourriture et les boissons,le riz,rice,sheaf of rice,1F33E,🌾,tag,bon
La nourriture et les boissons,les pâtes,pasta,spaghetti,1F35D,🍝,tag,bon
La nourriture et les boissons,la pomme de terre,potato,potato,1F954,🥔,annotation,bon
La nourriture et les boissons,les frites,fries,french fries,1F35F,🍟,tag,bon
La nourriture et les boissons,la salade,salad,leafy green,1F96C,🥬,tag,bon
La nourriture et les boissons,la tomate,tomato,tomato,1F345,🍅,annotation,bon
La nourriture et les boissons,la carotte,carrot,carrot,1F955,🥕,annotation,bon
La nourriture et les boissons,l'oignon,onion,onion,1F9C5,🧅,annotation,bon
La nourriture et les boissons,l'ail,garlic,garlic,1F9C4,🧄,annotation,bon
La nourriture et les boissons,le haricot vert,green bean,beans,1FAD8,🫘,override,approximatif
La nourriture et les boissons,le petit pois,pea,pea pod,1FADB,🫛,tag,bon
La nourriture et les boissons,la pomme,apple,apple,F8FF,,annotation,bon
La nourriture et les boissons,la banane,banana,banana,1F34C,🍌,annotation,bon
La nourriture et les boissons,l'orange,orange,orange heart,1F9E1,🧡,tag,bon
La nourriture et les boissons,la fraise,strawberry,strawberry,1F353,🍓,annotation,bon
La nourriture et les boissons,le raisin,grape,grapes,1F347,🍇,tag,bon
La nourriture et les boissons,la poire,pear,pear,1F350,🍐,annotation,bon
La nourriture et les boissons,la pêche,peach,peach,1F351,🍑,annotation,bon
La nourriture et les boissons,le citron,lemon,lemon,1F34B,🍋,annotation,bon
La nourriture et les boissons,l'ananas,pineapple,pineapple,1F34D,🍍,annotation,bon
La nourriture et les boissons,le melon,melon,melon,1F348,🍈,annotation,bon
La nourriture et les boissons,la pastèque,watermelon,watermelon,1F349,🍉,annotation,bon
La nourriture et les boissons,la cerise,cherry,cherry blossom,1F338,🌸,tag,bon
La nourriture et les boissons,le chocolat,chocolate,fondue,1FAD5,🫕,tag,bon
La nourriture et les boissons,le gâteau,cake,cake,E0C7,,annotation,bon
La nourriture et les boissons,le biscuit,biscuit / cookie,cookie,1F36A,🍪,override,approximatif
La nourriture et les boissons,le bonbon,candy,candy,1F36C,🍬,annotation,bon
La nourriture et les boissons,la glace,ice cream,ice cream,1F368,🍨,annotation,bon
La nourriture et les boissons,la crêpe,crepe / pancake,pancakes,1F95E,🥞,override,approximatif
La nourriture et les boissons,le croissant,croissant,croissant,1F950,🥐,annotation,bon
La nourriture et les boissons,la baguette,baguette,baguette bread,1F956,🥖,tag,bon
La nourriture et les boissons,le sucre,sugar,cupcake,1F9C1,🧁,tag,bon
La nourriture et les boissons,le sel,salt,salt,1F9C2,🧂,annotation,bon
La nourriture et les boissons,le poivre,pepper,hot pepper,1F336,🌶️,tag,bon
La nourriture et les boissons,l'huile,oil,oil drum,1F6E2,🛢️,tag,bon
La nourriture et les boissons,le vinaigre,vinegar,amphora,1F3FA,🏺,override,approximatif
La nourriture et les boissons,la sauce,sauce,jar,1FAD9,🫙,tag,bon
La nourriture et les boissons,la soupe,soup,pot of food,1F372,🍲,tag,bon
La nourriture et les boissons,le sandwich,sandwich,sandwich,1F96A,🥪,annotation,bon
La nourriture et les boissons,la pizza,pizza,pizza,1F355,🍕,annotation,bon
La nourriture et les boissons,le hamburger,hamburger,hamburger,1F354,🍔,annotation,bon
La nourriture et les boissons,le yaourt,yogurt,glass of milk,1F95B,🥛,override,approximatif
La nourriture et les boissons,les céréales,cereal,bowl with spoon,1F963,🥣,tag,bon
La nourriture et les boissons,le miel,honey,bear,1F43B,🐻,tag,bon
La nourriture et les boissons,la farine,flour,bread,1F35E,🍞,override,approximatif
La nourriture et les boissons,l'eau,water,sweat droplets,1F4A6,💦,tag,bon
La nourriture et les boissons,le jus de fruit,fruit juice,tropical drink,1F379,🍹,override,approximatif
La nourriture et les boissons,le soda,soda,cup with straw,1F964,🥤,tag,bon
La nourriture et les boissons,le café,coffee,hot beverage,2615,☕️,tag,bon
La nourriture et les boissons,le thé,tea,hot beverage,2615,☕️,tag,bon
La nourriture et les boissons,le chocolat chaud,hot chocolate,hot beverage,2615,☕️,override,approximatif
La nourriture et les boissons,le vin,wine,wine glass,1F377,🍷,tag,bon
La nourriture et les boissons,la bière,beer,ginger root,1FADA,🫚,tag,bon
La nourriture et les boissons,le petit-déjeuner,breakfast,croissant,1F950,🥐,tag,bon
La nourriture et les boissons,le déjeuner,lunch,fork and knife,1F374,🍴,tag,bon
La nourriture et les boissons,le dîner,dinner,fish,1F41F,🐟️,tag,bon
La nourriture et les boissons,le goûter,afternoon snack,cookie,1F36A,🍪,override,bon
La nourriture et les boissons,le repas,meal,maultasche,E0C1,,tag,bon
La nourriture et les boissons,l'assiette,plate,fork and knife with plate,1F37D,🍽️,tag,bon
La nourriture et les boissons,le verre,glass,glass of milk,1F95B,🥛,tag,bon
La nourriture et les boissons,la tasse,cup,teacup without handle,1F375,🍵,tag,bon
La nourriture et les boissons,le couteau,knife,fork and knife with plate,1F37D,🍽️,tag,bon
La nourriture et les boissons,la fourchette,fork,fork and knife with plate,1F37D,🍽️,tag,bon
La nourriture et les boissons,la cuillère,spoon,spoon,1F944,🥄,annotation,bon
La nourriture et les boissons,la serviette,napkin / towel,rolled-up newspaper,1F5DE,🗞️,override,approximatif
La nourriture et les boissons,la nappe,tablecloth,blue square,1F7E6,🟦,override,approximatif
La nourriture et les boissons,le restaurant,restaurant,bread,1F35E,🍞,tag,bon
La nourriture et les boissons,la cantine,school canteen,fork and knife with plate,1F37D,🍽️,override,bon
La nourriture et les boissons,la cuisine,kitchen / cooking,kitchen knife,1F52A,🔪,tag,bon
La nourriture et les boissons,la recette,recipe,notebook,1F4D3,📓,override,approximatif
La nourriture et les boissons,l'épicerie,grocery store,shopping cart,1F6D2,🛒,override,bon
La nourriture et les boissons,le supermarché,supermarket,convenience store,1F3EA,🏪,override,approximatif
La nourriture et les boissons,la boulangerie,bakery,bagel,1F96F,🥯,tag,bon
La nourriture et les boissons,la boucherie,butcher shop,cut of meat,1F969,🥩,override,approximatif
La nourriture et les boissons,le dessert,dessert,dango,1F361,🍡,tag,bon
La nourriture et les boissons,l'entrée,starter,leafy green,1F96C,🥬,override,bon
La nourriture et les boissons,le plat principal,main course,shallow pan of food,1F958,🥘,override,bon
La nourriture et les boissons,le menu,menu,notebook,1F4D3,📓,override,approximatif
La nourriture et les boissons,l'addition,bill / check,yen banknote,1F4B4,💴,tag,bon
La nourriture et les boissons,le pourboire,tip,money bag,1F4B0,💰️,override,bon
La nourriture et les boissons,la faim,hunger,hamburger,1F354,🍔,override,approximatif
La nourriture et les boissons,la soif,thirst,droplet,1F4A7,💧,override,approximatif
La nourriture et les boissons,sucré,sweet,face with tongue,1F61B,😛,tag,bon
La nourriture et les boissons,salé,salty,salt,1F9C2,🧂,tag,bon
La nourriture et les boissons,épicé,spicy,hot pepper,1F336,🌶️,override,approximatif
La nourriture et les boissons,amer,bitter,lemon,1F34B,🍋,override,approximatif
La nourriture et les boissons,délicieux,delicious,face savoring food,1F60B,😋,tag,bon
La nourriture et les boissons,cuit,cooked,cooked rice,1F35A,🍚,tag,bon
La nourriture et les boissons,cru,raw,cut of meat,1F969,🥩,override,approximatif
La maison,la maison,house,house,1F3E0,🏠️,annotation,bon
La maison,l'appartement,apartment,houses,1F3D8,🏘️,override,approximatif
La maison,la chambre,bedroom,bed,1F6CF,🛏️,override,approximatif
La maison,le salon,living room,couch and lamp,1F6CB,🛋️,override,approximatif
La maison,la salle de bain,bathroom,toilet,1F6BD,🚽,tag,bon
La maison,les toilettes,toilet,toilet,1F6BD,🚽,annotation,bon
La maison,le garage,garage,parking garage,E206,,override,approximatif
La maison,le jardin,garden,snail,1F40C,🐌,tag,bon
La maison,le balcon,balcony,houses,1F3D8,🏘️,override,approximatif
La maison,l'escalier,stairs,stairway,E202,,override,approximatif
La maison,la porte,door,door,1F6AA,🚪,annotation,bon
La maison,la fenêtre,window,window,1FA9F,🪟,annotation,bon
La maison,le mur,wall,brick,1F9F1,🧱,tag,bon
La maison,le toit,roof,houses,1F3D8,🏘️,override,approximatif
La maison,le sol,floor,broom,1F9F9,🧹,override,approximatif
La maison,le plafond,ceiling,houses,1F3D8,🏘️,override,approximatif
La maison,le lit,bed,bed,1F6CF,🛏️,annotation,bon
La maison,l'oreiller,pillow,bed,1F6CF,🛏️,override,approximatif
La maison,la couverture,blanket,bed,1F6CF,🛏️,override,approximatif
La maison,le drap,bedsheet,bed,1F6CF,🛏️,override,approximatif
La maison,l'armoire,wardrobe,package,1F4E6,📦️,override,approximatif
La maison,la commode,chest of drawers,package,1F4E6,📦️,override,bon
La maison,le bureau,desk / office,desktop computer,1F5A5,🖥️,override,approximatif
La maison,la chaise,chair,chair,1FA91,🪑,annotation,bon
La maison,la table,table,ping pong,1F3D3,🏓,tag,bon
La maison,le canapé,sofa,couch and lamp,1F6CB,🛋️,override,approximatif
La maison,le fauteuil,armchair,armchair,E141,,annotation,bon
La maison,l'étagère,shelf,books,1F4DA,📚️,override,approximatif
La maison,la lampe,lamp,genie,1F9DE,🧞,tag,bon
La maison,le miroir,mirror,mirror,1FA9E,🪞,annotation,bon
La maison,le tapis,rug / carpet,blue square,1F7E6,🟦,override,approximatif
La maison,le rideau,curtain,window,1FA9F,🪟,override,approximatif
La maison,la télévision,television,television,1F4FA,📺️,annotation,bon
La maison,le réfrigérateur,fridge,kitchen knife,1F52A,🔪,override,bon
La maison,le four,oven,kitchen knife,1F52A,🔪,override,bon
La maison,le micro-ondes,microwave,kitchen knife,1F52A,🔪,override,approximatif
La maison,le lave-linge,washing machine,washing machine,E1CF,,annotation,bon
La maison,le lave-vaisselle,dishwasher,kitchen knife,1F52A,🔪,override,approximatif
La maison,l'évier,kitchen sink,kitchen knife,1F52A,🔪,override,approximatif
La maison,la douche,shower,shower,1F6BF,🚿,annotation,bon
La maison,la baignoire,bathtub,bathtub,1F6C1,🛁,annotation,bon
La maison,le robinet,tap / faucet,tap,E100,,annotation,bon
La maison,la clé,key,key,1F511,🔑,annotation,bon
La maison,la serrure,lock,locked,1F512,🔒️,tag,bon
La maison,la poubelle,trash can,wastebasket,1F5D1,🗑️,override,bon
La maison,le balai,broom,broom,1F9F9,🧹,annotation,bon
La maison,l'aspirateur,vacuum cleaner,broom,1F9F9,🧹,override,approximatif
La maison,la plante,plant,bouquet,1F490,💐,tag,bon
L'école,l'école,school,school,1F3EB,🏫,annotation,bon
L'école,le collège,middle school,school,1F3EB,🏫,override,bon
L'école,le lycée,high school,school,1F3EB,🏫,override,bon
L'école,la salle de classe,classroom,school,1F3EB,🏫,override,approximatif
L'école,le professeur,teacher,teacher,1F9D1-200D-1F3EB,🧑‍🏫,annotation,bon
L'école,l'élève,student / pupil,student,1F9D1-200D-1F393,🧑‍🎓,annotation,bon
L'école,le camarade,classmate,student,1F9D1-200D-1F393,🧑‍🎓,override,approximatif
L'école,le directeur,principal,,,,abstrait,sans image
L'école,le cours,class / lesson,bicycle,1F6B2,🚲️,tag,bon
L'école,les devoirs,homework,notebook,1F4D3,📓,override,approximatif
L'école,l'examen,exam,spiral notepad,1F5D2,🗒️,override,bon
L'école,la note,grade / mark,Japanese "passing grade" button,1F234,🈴,tag,bon
L'école,le cahier,notebook,notebook,1F4D3,📓,annotation,bon
L'école,le livre,book,notebook with decorative cover,1F4D4,📔,tag,bon
L'école,le stylo,pen,pen,1F58A,🖊️,annotation,bon
L'école,le crayon,pencil,pencil,270F,✏️,annotation,bon
L'école,la gomme,eraser,pencil,270F,✏️,override,approximatif
L'école,la règle,ruler,straight ruler,1F4CF,📏,tag,bon
L'école,les ciseaux,scissors,scissors,2702,✂️,annotation,bon
L'école,la colle,glue,roll of paper,1F9FB,🧻,override,approximatif
L'école,la trousse,pencil case,pencil,270F,✏️,override,approximatif
L'école,le sac,bag,luggage,1F9F3,🧳,tag,bon
L'école,le tableau,board,skateboard,1F6F9,🛹,tag,bon
L'école,la craie,chalk,pencil,270F,✏️,override,approximatif
L'école,l'ordinateur,computer,technologist,1F9D1-200D-1F4BB,🧑‍💻,tag,bon
L'école,la calculatrice,calculator,abacus,1F9EE,🧮,tag,bon
L'école,le dictionnaire,dictionary,books,1F4DA,📚️,override,approximatif
L'école,l'emploi du temps,timetable / schedule,spiral calendar,1F5D3,🗓️,override,approximatif
L'école,la récréation,recess / break,children crossing,1F6B8,🚸,override,approximatif
L'école,la bibliothèque,library,open book,1F4D6,📖,tag,bon
L'école,le gymnase,gym,flexed biceps,1F4AA,💪,tag,bon
L'école,la cour,schoolyard,school,1F3EB,🏫,override,bon
L'école,les mathématiques,math,straight ruler,1F4CF,📏,tag,bon
L'école,le français,French (subject),flag: France,1F1EB-1F1F7,🇫🇷,override,bon
L'école,l'histoire,history,scroll,1F4DC,📜,override,approximatif
L'école,la géographie,geography,globe showing Europe-Africa,1F30D,🌍️,override,approximatif
L'école,les sciences,science,microbe,1F9A0,🦠,tag,bon
L'école,l'anglais,English (subject),flag: United Kingdom,1F1EC-1F1E7,🇬🇧,override,bon
L'école,l'espagnol,Spanish (subject),flag: Spain,1F1EA-1F1F8,🇪🇸,override,bon
L'école,la musique,music,speaker high volume,1F50A,🔊,tag,bon
L'école,les arts plastiques,art,man artist,1F468-200D-1F3A8,👨‍🎨,tag,bon
L'école,le sport,sport / PE,horse racing,1F3C7,🏇,tag,bon
L'école,la physique,physics,atom symbol,269B,⚛️,override,approximatif
L'école,la chimie,chemistry,alembic,2697,⚗️,tag,bon
L'école,la biologie,biology,petri dish,1F9EB,🧫,tag,bon
L'école,la technologie,technology (subject),gear,2699,⚙️,override,bon
L'école,l'informatique,computer science,laptop,1F4BB,💻️,override,bon
L'école,la question,question,person raising hand,1F64B,🙋,tag,bon
L'école,la réponse,answer,heavy equals sign,1F7F0,🟰,tag,bon
L'école,la leçon,lesson,books,1F4DA,📚️,override,approximatif
L'école,le chapitre,chapter,bookmark tabs,1F4D1,📑,override,approximatif
L'école,la page,page,page with curl,1F4C3,📃,tag,bon
L'école,la phrase,sentence,memo,1F4DD,📝,override,approximatif
L'école,le mot,word,input latin letters,1F524,🔤,override,approximatif
L'école,la lettre,letter,love letter,1F48C,💌,tag,bon
L'école,l'exercice,exercise,person gesturing OK,1F646,🙆,tag,bon
L'école,le contrôle,test / quiz,test tube,1F9EA,🧪,tag,bon
L'école,le brevet,middle school diploma,graduation cap,1F393,🎓️,override,bon
L'école,le baccalauréat,high school diploma (bac),graduation cap,1F393,🎓️,override,bon
L'école,la rentrée,back to school,backpack,1F392,🎒,override,bon
Les nombres,zéro,zero,keycap: 0,0030-FE0F-20E3,0️⃣,override,bon
Les nombres,un,one,keycap: 1,0031-FE0F-20E3,1️⃣,override,bon
Les nombres,deux,two,keycap: 2,0032-FE0F-20E3,2️⃣,override,bon
Les nombres,trois,three,keycap: 3,0033-FE0F-20E3,3️⃣,override,bon
Les nombres,quatre,four,keycap: 4,0034-FE0F-20E3,4️⃣,override,bon
Les nombres,cinq,five,keycap: 5,0035-FE0F-20E3,5️⃣,override,bon
Les nombres,six,six,keycap: 6,0036-FE0F-20E3,6️⃣,override,bon
Les nombres,sept,seven,keycap: 7,0037-FE0F-20E3,7️⃣,override,bon
Les nombres,huit,eight,keycap: 8,0038-FE0F-20E3,8️⃣,override,bon
Les nombres,neuf,nine,keycap: 9,0039-FE0F-20E3,9️⃣,override,bon
Les nombres,dix,ten,keycap: 10,1F51F,🔟,override,bon
Les nombres,onze,eleven,input numbers,1F522,🔢,override,bon
Les nombres,douze,twelve,input numbers,1F522,🔢,override,bon
Les nombres,treize,thirteen,input numbers,1F522,🔢,override,bon
Les nombres,quatorze,fourteen,input numbers,1F522,🔢,override,bon
Les nombres,quinze,fifteen,input numbers,1F522,🔢,override,bon
Les nombres,seize,sixteen,input numbers,1F522,🔢,override,bon
Les nombres,dix-sept,seventeen,input numbers,1F522,🔢,override,bon
Les nombres,dix-huit,eighteen,input numbers,1F522,🔢,override,bon
Les nombres,dix-neuf,nineteen,input numbers,1F522,🔢,override,bon
Les nombres,vingt,twenty,input numbers,1F522,🔢,override,bon
Les nombres,trente,thirty,input numbers,1F522,🔢,override,bon
Les nombres,quarante,forty,input numbers,1F522,🔢,override,bon
Les nombres,cinquante,fifty,input numbers,1F522,🔢,override,bon
Les nombres,soixante,sixty,input numbers,1F522,🔢,override,bon
Les nombres,soixante-dix,seventy,input numbers,1F522,🔢,override,bon
Les nombres,quatre-vingts,eighty,input numbers,1F522,🔢,override,bon
Les nombres,quatre-vingt-dix,ninety,input numbers,1F522,🔢,override,bon
Les nombres,cent,one hundred,hundred points,1F4AF,💯,override,bon
Les nombres,mille,one thousand,input numbers,1F522,🔢,override,bon
Les nombres,premier,first,1st place medal,1F947,🥇,override,bon
Les nombres,deuxième,second,2nd place medal,1F948,🥈,override,bon
Les nombres,troisième,third,3rd place medal,1F949,🥉,override,bon
Les nombres,dernier,last,last quarter moon,1F317,🌗,tag,bon
Les nombres,la moitié,half,pie,1F967,🥧,override,bon
Les nombres,le tiers,third (fraction),3rd place medal,1F949,🥉,tag,bon
Les nombres,le quart,quarter,pie,1F967,🥧,override,bon
Les nombres,le nombre,number,input numbers,1F522,🔢,override,bon
Les nombres,le chiffre,digit / figure,input numbers,1F522,🔢,override,bon
Les nombres,la paire,pair,handshake,1F91D,🤝,override,bon
Le temps et le calendrier,lundi,Monday,calendar,1F4C5,📅,override,bon
Le temps et le calendrier,mardi,Tuesday,calendar,1F4C5,📅,override,bon
Le temps et le calendrier,mercredi,Wednesday,calendar,1F4C5,📅,override,bon
Le temps et le calendrier,jeudi,Thursday,calendar,1F4C5,📅,override,bon
Le temps et le calendrier,vendredi,Friday,calendar,1F4C5,📅,override,bon
Le temps et le calendrier,samedi,Saturday,calendar,1F4C5,📅,override,bon
Le temps et le calendrier,dimanche,Sunday,calendar,1F4C5,📅,override,bon
Le temps et le calendrier,janvier,January,calendar,1F4C5,📅,override,bon
Le temps et le calendrier,février,February,calendar,1F4C5,📅,override,bon
Le temps et le calendrier,mars,March,calendar,1F4C5,📅,override,bon
Le temps et le calendrier,avril,April,calendar,1F4C5,📅,override,bon
Le temps et le calendrier,mai,May,calendar,1F4C5,📅,override,bon
Le temps et le calendrier,juin,June,calendar,1F4C5,📅,override,bon
Le temps et le calendrier,juillet,July,calendar,1F4C5,📅,override,bon
Le temps et le calendrier,août,August,calendar,1F4C5,📅,override,bon
Le temps et le calendrier,septembre,September,calendar,1F4C5,📅,override,bon
Le temps et le calendrier,octobre,October,calendar,1F4C5,📅,override,bon
Le temps et le calendrier,novembre,November,calendar,1F4C5,📅,override,bon
Le temps et le calendrier,décembre,December,calendar,1F4C5,📅,override,bon
Le temps et le calendrier,le printemps,spring,honeybee,1F41D,🐝,tag,bon
Le temps et le calendrier,l'été,summer,sunflower,1F33B,🌻,tag,bon
Le temps et le calendrier,l'automne,autumn / fall,maple leaf,1F341,🍁,tag,bon
Le temps et le calendrier,l'hiver,winter,skier,26F7,⛷️,tag,bon
Le temps et le calendrier,le jour,day,sun,2600,☀️,override,bon
Le temps et le calendrier,la semaine,week,spiral calendar,1F5D3,🗓️,override,bon
Le temps et le calendrier,le mois,month,tear-off calendar,1F4C6,📆,override,bon
Le temps et le calendrier,l'année,year,spiral calendar,1F5D3,🗓️,tag,bon
Le temps et le calendrier,l'heure,hour / time,mantelpiece clock,1F570,🕰️,override,bon
Le temps et le calendrier,la minute,minute,stopwatch,23F1,⏱️,override,bon
Le temps et le calendrier,la seconde,second,2nd place medal,1F948,🥈,override,bon
Le temps et le calendrier,le matin,morning,sunrise,1F305,🌅,override,bon
Le temps et le calendrier,l'après-midi,afternoon,sun behind small cloud,1F324,🌤️,override,bon
Le temps et le calendrier,le soir,evening,cityscape at dusk,1F306,🌆,tag,bon
Le temps et le calendrier,la nuit,night,crescent moon,1F319,🌙,override,bon
Le temps et le calendrier,aujourd'hui,today,calendar,1F4C5,📅,override,bon
Le temps et le calendrier,demain,tomorrow,calendar,1F4C5,📅,override,bon
Le temps et le calendrier,hier,yesterday,calendar,1F4C5,📅,override,bon
Le temps et le calendrier,maintenant,now,alarm clock,23F0,⏰️,override,bon
Le temps et le calendrier,bientôt,soon,right arrow,27A1,➡️,tag,bon
Le temps et le calendrier,tard,late,face with bags under eyes,1FAE9,🫩,tag,bon
Le temps et le calendrier,tôt,early,sunrise,1F305,🌅,override,bon
Le temps et le calendrier,toujours,always,infinity,267E,♾️,override,bon
Le temps et le calendrier,jamais,never,no entry,26D4,⛔️,override,bon
Le temps et le calendrier,souvent,often,repeat button,1F501,🔁,override,bon
Le temps et le calendrier,parfois,sometimes,shuffle tracks button,1F500,🔀,override,bon
Le temps et le calendrier,le calendrier,calendar,calendar,1F4C5,📅,annotation,bon
Le temps et le calendrier,la date,date,spiral calendar,1F5D3,🗓️,override,bon
Le temps et le calendrier,l'anniversaire,birthday,partying face,1F973,🥳,tag,bon
Le temps et le calendrier,les vacances,vacation / holidays,palm tree,1F334,🌴,tag,bon
Le temps et le calendrier,le week-end,weekend,calendar,1F4C5,📅,override,bon
Les couleurs et les formes,rouge,red,enraged face,1F621,😡,tag,bon
Les couleurs et les formes,bleu,blue,cold face,1F976,🥶,tag,bon
Les couleurs et les formes,vert,green,nauseated face,1F922,🤢,tag,bon
Les couleurs et les formes,jaune,yellow,yellow heart,1F49B,💛,tag,bon
Les couleurs et les formes,orange,orange,orange heart,1F9E1,🧡,tag,bon
Les couleurs et les formes,violet,purple,smiling face with horns,1F608,😈,tag,bon
Les couleurs et les formes,rose,pink,pink heart,1FA77,🩷,tag,bon
Les couleurs et les formes,noir,black,black heart,1F5A4,🖤,tag,bon
Les couleurs et les formes,blanc,white,heart decoration,1F49F,💟,tag,bon
Les couleurs et les formes,gris,grey,grey heart,1FA76,🩶,tag,bon
Les couleurs et les formes,marron,brown,brown heart,1F90E,🤎,tag,bon
Les couleurs et les formes,le cercle,circle,wheel,1F6DE,🛞,tag,bon
